Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Elcora Advanced Materials Corp,Energy,POINT (-63.646705 44.737949),"25,000",Bedford,Halifax Regional Municipality,B4A2T3,2018 - 2019,-63.646705,44.737949
Yarmouth Bar Fisheries Limited,Fish & Seafood Processing,POINT (-66.13783 43.83244),"15,000",Yarmouth,Yarmouth,B5A4A7,2018 - 2019,-66.13783,43.83244
LED Roadway Lighting Ltd,Advanced Manufacturing,POINT (-63.663711 44.637971),"15,000",Halifax,Halifax Regional Municipality,B3S1B3,2018 - 2019,-63.663711,44.637971
Copol International Ltd.,Advanced Manufacturing,POINT (-60.24105 46.237929),"15,000",North Sydney,Cape Breton,B2A3M4,2018 - 2019,-60.24105,46.237929
Introhive Services (NS) Inc.,ICT (includes Digital Media),POINT (-63.72337595 44.64997307),"691,800",Timberlea,Halifax Regional Municipality,B3T1C4,2018 - 2019,-63.72337595,44.64997307
The Sydney Call Centre Inc.,ICT (includes Digital Media),POINT (-60.18146341 46.14405113),"2,475,000",Sydney,Halifax Regional Municipality,B1P1W8,2018 - 2019,-60.18146341,46.14405113
REDspace Inc,ICT (includes Digital Media),POINT (-63.66024 44.731123),"1,497,500",Bedford,Halifax Regional Municipality,B4A1E5,2018 - 2019,-63.66024,44.731123
Influitive Corporation,ICT (includes Digital Media),,"448,000",,Halifax Regional Municipality,,2018 - 2019,,
Savormetrics Inc.,ICT (includes Digital Media),POINT (-63.645986 44.648416),"619,650",Halifax,Halifax Regional Municipality,B3J2X2,2018 - 2019,-63.645986,44.648416
Monkedia LLC,ICT (includes Digital Media),POINT (-63.552011 44.678941),"610,350",Dartmouth,Halifax Regional Municipality,B2Y4J2,2018 - 2019,-63.552011,44.678941
Manulife Financial,Finance & Insurance,POINT (-63.623007 44.643294),0,Halifax,Halifax Regional Municipality,B3L4G6,2018 - 2019,-63.623007,44.643294
Dilytics,ICT (includes Digital Media),POINT (-63.604559 44.709923),0,Dartmouth,Halifax Regional Municipality,B3B1N1,2018 - 2019,-63.604559,44.709923
BeyondTrust Software Inc.,ICT (includes Digital Media),POINT (-63.57347352 44.64895408),"3,120,563",Halifax,Halifax Regional Municipality,B3J3N4,2018 - 2019,-63.57347352,44.64895408
