ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
CNT1207,Kings County,Another province or territory,6,2011,"2,750",10.6,"2,685",11.2,"5,430",10.9
CNT1208,Hants County,Another province or territory,6,2011,"1,260",7.1,"1,535",9.1,"2,790",8.1
CNT1209,Halifax County,Another province or territory,6,2011,"19,710",11.6,"20,205",13,"39,920",12.3
CNT1210,Colchester County,Another province or territory,6,2011,"1,750",8,"1,765",8.8,"3,515",8.4
CNT1211,Cumberland County,Another province or territory,6,2011,"1,570",11.5,"1,610",13,"3,175",12.2
CNT1212,Pictou County,Another province or territory,6,2011,"1,175",6,"1,470",8,"2,650",7
CNT1213,Guysborough County,Another province or territory,6,2011,150,4.3,215,6.1,370,5.3
CNT1214,Antigonish County,Another province or territory,6,2011,710,8.5,715,9.2,"1,420",8.8
CNT1215,Inverness County,Another province or territory,6,2011,445,5.9,575,8,"1,020",6.9
CNT1216,Richmond County,Another province or territory,6,2011,160,4,260,6.7,420,5.3
CNT1217,Cape Breton County,Another province or territory,6,2011,"1,825",4,"2,330",5.8,"4,160",4.9
CNT1218,Victoria County,Another province or territory,6,2011,185,6.2,265,9.1,445,7.5
COM1001,Wittenburg,Another province or territory,6,2011,1,0.2,30,5.3,45,4
COM1002,Stewiacke,Another province or territory,6,2011,19,2.5,28,4.2,66,4.6
COM1003,Old Barns,Another province or territory,6,2011,16,5.7,25,9.1,47,8.3
COM1004,Brookfield,Another province or territory,6,2011,22,2.4,72,8.5,127,7.1
COM1005,Upper Stewiacke,Another province or territory,6,2011,10,1.8,11,1.8,82,7.1
COM1006,Greenfield,Another province or territory,6,2011,25,5.6,40,8,91,9.5
COM1007,Hilden,Another province or territory,6,2011,64,9,74,11.4,144,10.6
COM1008,Millbrook First Nation (Millbrook (27)),Another province or territory,6,2011,10,3.6,0,0,20,3.5
COM1009,Truro,Another province or territory,6,2011,548,7.6,494,7.9,"1,142",8.5
COM101,Welshtown,Another province or territory,6,2011,0,0,7,2.4,21,3.4
COM1010,Bible Hill,Another province or territory,6,2011,408,10.5,360,10.4,818,11.1
COM1011,East Mountain,Another province or territory,6,2011,8,0.7,44,3.5,154,6.2
COM1007,Hilden,Location of study outside Canada,7,2011,0,0,0,0,0,0
COM1012,Earltown,Another province or territory,6,2011,0,0,15,5.2,42,7.8
COM1013,Tatamagouche,Another province or territory,6,2011,65,7.4,8,1,122,7.4
COM1014,New Annan,Another province or territory,6,2011,25,9,8,3,42,7.7
COM1015,Lower Onslow,Another province or territory,6,2011,11,0.9,77,6.4,150,6.1
COM1016,Debert,Another province or territory,6,2011,12,2.1,6,1,28,2.4
COM1017,Glenholme,Another province or territory,6,2011,78,8.2,102,10.3,189,9.8
COM1018,Economy,Another province or territory,6,2011,33,6.3,16,3.4,103,10.4
COM102,Lockeport,Another province or territory,6,2011,15,1.9,0,0,35,2.2
COM103,Shelburne,Another province or territory,6,2011,85,5.6,146,10.5,276,9.5
COM104,Clyde River,Another province or territory,6,2011,36,5.2,56,7.8,148,10.5
COM105,Barrington,Another province or territory,6,2011,12,0.8,32,2.1,88,2.8
COM106,Cape Sable Island,Another province or territory,6,2011,6,0.4,0,0,43,1.6
com107,Tobeatic - Tidney River Wilderness,Another province or territory,6,2011,0,0,0,0,0,0
COM1101,Parrsboro,Another province or territory,6,2011,60,5.6,100,10.4,156,7.7
COM1102,Advocate Harbour,Another province or territory,6,2011,12,3.5,40,12.8,63,9.6
COM1103,River Hebert,Another province or territory,6,2011,33,5.1,50,8.2,85,6.7
COM1104,Springhill,Another province or territory,6,2011,97,4.7,183,10.9,293,7.9
COM1105,Wentworth,Another province or territory,6,2011,29,4.7,57,9.8,129,10.6
COM1106,Oxford,Another province or territory,6,2011,60,7.4,168,17.9,233,13.3
COM1107,Amherst,Another province or territory,6,2011,852,14.4,701,13.1,"1,570",13.9
COM1108,Tidnish,Another province or territory,6,2011,71,11.9,66,13.4,136,12.5
COM1109,Port Howe,Another province or territory,6,2011,20,6.8,33,11.2,56,9.5
COM1110,Pugwash,Another province or territory,6,2011,83,12.3,73,13.9,196,16.3
COM1111,Wallace,Another province or territory,6,2011,87,13.9,59,9,168,13.2
com1112,Paqtnkek First Nation (Franklin Manor (22)),Another province or territory,6,2011,0,0,0,0,0,0
COM1201,River John,Another province or territory,6,2011,82,8.1,81,7.9,192,9.4
COM1202,Pictou,Another province or territory,6,2011,176,8.2,205,10.4,411,10
COM1203,Scotsburn,Another province or territory,6,2011,27,1.9,69,4.7,219,7.6
COM1204,Salt Springs,Another province or territory,6,2011,0,0,15,3.5,84,9.2
COM1205,Hopewell,Another province or territory,6,2011,2,0.2,8,0.8,64,3.4
COM1206,Westville,Another province or territory,6,2011,54,2.5,146,7.7,237,5.8
COM1207,Stellarton,Another province or territory,6,2011,30,1.4,52,2.8,140,3.6
COM1208,New Glasgow,Another province or territory,6,2011,367,6.9,334,7.2,749,7.5
COM1209,Trenton,Another province or territory,6,2011,4,0.3,55,4.9,116,5
COM1210,Pictou Landing,Another province or territory,6,2011,36,8.6,11,2.4,55,6.3
COM1211,Pictou Landing First Nation (Fisher's Grant (24)),Another province or territory,6,2011,0,0,0,0,7,3.1
COM1212,Little Harbour,Another province or territory,6,2011,22,5.9,17,4.6,43,5.8
COM1213,Thorburn,Another province or territory,6,2011,1,0.1,37,3.7,70,3.4
COM1214,Blue Mountain,Another province or territory,6,2011,18,4.7,19,4.6,43,5.4
COM1215,Merigomish,Another province or territory,6,2011,25,5,0,0,45,4.3
com1216,Pictou Landing First Nation (Boat Harbour West (37)),Another province or territory,6,2011,0,0,0,0,0,0
com1217,Pictou Landing First Nation (Merigomish Harbour (31)),Another province or territory,6,2011,0,0,0,0,0,0
COM1301,Melrose,Another province or territory,6,2011,0,0,15,7.5,24,5.7
COM1302,Sherbrooke,Another province or territory,6,2011,50,8.6,31,5.5,88,7.7
COM1303,Cross Roads Country Harbour,Another province or territory,6,2011,0,0,7,1.6,29,3.4
COM1304,Larrys River,Another province or territory,6,2011,0,0,0,0,4,0.4
COM1305,Canso,Another province or territory,6,2011,0,0,20,3.4,29,2.5
COM1306,Guysborough,Another province or territory,6,2011,0,0,47,6.2,86,5.5
COM1307,Mulgrave,Another province or territory,6,2011,0,0,18,4.8,70,9.2
COM1401,Lochaber,Another province or territory,6,2011,68,21.5,56,19.2,125,20.3
COM1402,Salt Springs,Another province or territory,6,2011,30,5.4,54,10.3,108,10
COM1403,James River,Another province or territory,6,2011,26,5.9,48,10.6,93,10.4
COM1404,Clydesdale,Another province or territory,6,2011,38,9.3,21,5.2,68,8.4
COM1405,Malignant Cove,Another province or territory,6,2011,15,4.5,29,8.2,53,7.7
COM1406,Mahoneys Beach,Another province or territory,6,2011,50,11.7,53,12.3,96,11.2
COM1407,Antigonish,Another province or territory,6,2011,252,9.6,233,10.8,495,10.3
COM1408,Lower South River,Another province or territory,6,2011,63,7.3,47,6.4,149,9.2
COM1409,St. Andrews,Another province or territory,6,2011,61,14.5,47,10,108,12.1
COM1410,Pomquet,Another province or territory,6,2011,14,2.6,43,7,63,5.5
COM1411,Paqtnkek First Nation (Pomquet & Afton (23)),Another province or territory,6,2011,0,0,10,9.1,15,6.2
COM1412,Tracadie,Another province or territory,6,2011,4,0.6,2,0.3,7,0.5
COM1413,Havre Boucher,Another province or territory,6,2011,0,0,0,0,20,1.6
com1414,Paqtnkek First Nation (Summerside (38)),Another province or territory,6,2011,0,0,0,0,0,0
COM1501,Port Hawkesbury,Another province or territory,6,2011,150,7.8,140,8.2,328,9
COM1502,Long Point,Another province or territory,6,2011,0,0,0,0,2,0.3
COM1503,Port Hood,Another province or territory,6,2011,17,3.2,0,0,43,4.3
COM1504,Mabou,Another province or territory,6,2011,15,3.2,26,5.3,60,6.2
COM1505,Glendale,Another province or territory,6,2011,18,3.3,41,7.1,67,6
COM1506,Waycobah First Nation (Whycocomagh (2)),Another province or territory,6,2011,0,0,10,4.1,15,3
COM1507,Whycocomagh,Another province or territory,6,2011,0,0,13,3.6,23,3.2
COM1508,Inverness,Another province or territory,6,2011,25,2.7,49,5.5,106,5.9
COM1509,Margaree,Another province or territory,6,2011,20,2.4,30,3.4,137,7.9
COM1510,Cheticamp,Another province or territory,6,2011,62,5,68,6.4,142,6.1
COM1511,Pictou Landing First Nation (Malagawatch (4)),Another province or territory,6,2011,0,0,0,0,0,0
COM1601,Dundee,Another province or territory,6,2011,14,3,19,4.1,39,4.2
COM1602,Isle Madame,Another province or territory,6,2011,60,4.1,50,3.4,110,3.7
COM1603,Louisdale,Another province or territory,6,2011,1,0.1,33,4.9,42,3
COM1604,St. Peter's,Another province or territory,6,2011,8,1.2,71,12.4,92,7.4
COM1605,L'Ardoise,Another province or territory,6,2011,22,4.1,22,4.3,96,9.2
COM1606,Chapel Island First Nation (Chapel Island (5)),Another province or territory,6,2011,0,0,0,0,0,0
COM1701,Boularderie Island (Victoria),Another province or territory,6,2011,18,4.9,10,2.9,41,5.7
COM1702,Albert Bridge,Another province or territory,6,2011,37,5.6,28,4.7,86,6.8
COM1703,Big Ridge-French Road,Another province or territory,6,2011,1,1.8,5,10.2,8,7.6
COM1704,Birch Grove-Tower Road,Another province or territory,6,2011,5,1.8,4,1.7,8,1.6
COM1705,Blacketts Lake,Another province or territory,6,2011,0,0,11,14.9,18,12
COM1706,Boisdale-Castle Bay and Area,Another province or territory,6,2011,0,0,17,6.9,28,6
COM1707,Boularderie Island (CBRM),Another province or territory,6,2011,15,1.8,0,0,57,3.5
COM1708,Coxheath,Another province or territory,6,2011,88,8.6,44,4.6,180,9
COM1709,Dominion,Another province or territory,6,2011,0,0,0,0,0,0
COM1710,Donkin-Port Caledonia,Another province or territory,6,2011,20,5.6,20,5.8,60,8.5
COM1711,Dutch Brook-Caribou Marsh,Another province or territory,6,2011,0,0,8,5.3,12,3.5
COM1712,East Bay Area,Another province or territory,6,2011,20,7.9,29,12.1,44,9
COM1713,Eskasoni First Nation (Eskasoni (3)),Another province or territory,6,2011,30,2.6,20,1.9,45,2.1
COM1714,Florence-Bras D'Or,Another province or territory,6,2011,35,2.9,30,2.9,63,2.8
COM1715,Frenchvale-Beechmont and Area,Another province or territory,6,2011,17,4.9,30,8.5,61,8.7
COM1716,Gardiner Mines,Another province or territory,6,2011,0,0,0,0,25,4.8
COM1717,Georges River and Area,Another province or territory,6,2011,0,0,5,0.8,16,1.3
COM1718,Glace Bay,Another province or territory,6,2011,15,0.2,55,0.9,145,1.1
COM1719,Grand Lake Road,Another province or territory,6,2011,0,0,0,0,16,1.2
COM1720,Grand Mira North,Another province or territory,6,2011,0,0,1,0.4,2,0.4
COM1721,Grand Mira South,Another province or territory,6,2011,0,0,6,8.8,10,6.8
COM1722,Greater Gabarus,Another province or territory,6,2011,0,0,7,10,10,6.6
COM1723,Howie Centre,Another province or territory,6,2011,57,5.2,56,5.9,145,7.2
COM1724,Lingan Road,Another province or territory,6,2011,0,0,0,0,9,3.3
COM1725,Lingan-River Ryan and Area,Another province or territory,6,2011,0,0,12,1.1,56,2.5
COM1726,Louisbourg,Another province or territory,6,2011,15,3.3,30,6.2,76,8.1
COM1727,Marion Bridge,Another province or territory,6,2011,7,2.3,7,2.7,15,2.7
COM1728,Membertou First Nation (Membertou (28B)),Another province or territory,6,2011,10,3,10,3.4,20,3.2
COM1729,Mira Gut-Lorraine and Area,Another province or territory,6,2011,22,4.7,16,3.3,60,6.3
COM1730,Mira Road,Another province or territory,6,2011,0,0,7,1.2,28,2
